method,transform,stage,seed,success,invariance_gap,passes_audit
aggregate_robustness,camera_yaw,latent_memory,14,0.7154,0.1256,0
aggregate_robustness,camera_yaw,latent_memory,15,0.7874,0.0425,1
aggregate_robustness,camera_yaw,latent_memory,16,0.8193,0.0110,1
aggregate_robustness,camera_yaw,latent_memory,17,0.7597,0.0728,1
aggregate_robustness,camera_yaw,latent_memory,18,0.7442,0.0964,1
aggregate_robustness,camera_yaw,latent_memory,19,0.7980,0.0399,1
aggregate_robustness,camera_yaw,latent_memory,20,0.7447,0.0792,1
aggregate_robustness,camera_yaw,latent_memory,21,0.7632,0.0614,1
aggregate_robustness,camera_yaw,latent_memory,22,0.7679,0.0706,1
aggregate_robustness,camera_yaw,latent_memory,23,0.7608,0.0654,1
aggregate_robustness,camera_yaw,latent_memory,24,0.7713,0.0601,1
aggregate_robustness,camera_yaw,latent_memory,25,0.7233,0.1051,1
aggregate_robustness,camera_yaw,latent_memory,26,0.7599,0.0674,1
aggregate_robustness,camera_yaw,latent_memory,27,0.7676,0.0629,1
aggregate_robustness,camera_yaw,latent_memory,28,0.7353,0.1010,1
aggregate_robustness,camera_yaw,latent_memory,29,0.7884,0.0460,1
aggregate_robustness,camera_yaw,latent_memory,30,0.7301,0.0925,1
aggregate_robustness,camera_yaw,latent_memory,31,0.7574,0.0955,1
aggregate_robustness,camera_yaw,latent_memory,32,0.7580,0.0867,1
aggregate_robustness,camera_yaw,latent_memory,33,0.7421,0.0905,1
aggregate_robustness,camera_yaw,latent_memory,34,0.7331,0.0969,1
aggregate_robustness,camera_yaw,latent_memory,35,0.7206,0.1059,1
aggregate_robustness,camera_yaw,latent_memory,36,0.7577,0.0775,1
aggregate_robustness,camera_yaw,latent_memory,37,0.7295,0.1007,1
aggregate_robustness,camera_yaw,latent_memory,38,0.7373,0.0870,1
aggregate_robustness,camera_yaw,latent_memory,39,0.7602,0.0795,1
aggregate_robustness,camera_yaw,action,0,0.6038,0.1317,0
aggregate_robustness,camera_yaw,action,1,0.6071,0.1091,1
aggregate_robustness,camera_yaw,action,2,0.6139,0.1044,1
aggregate_robustness,camera_yaw,action,3,0.5751,0.1717,0
aggregate_robustness,camera_yaw,action,4,0.5953,0.1318,0
aggregate_robustness,camera_yaw,action,5,0.5562,0.1827,0
aggregate_robustness,camera_yaw,action,6,0.6245,0.1058,1
aggregate_robustness,camera_yaw,action,7,0.6173,0.1011,1
aggregate_robustness,camera_yaw,action,8,0.6029,0.1131,1
aggregate_robustness,camera_yaw,action,9,0.6169,0.1108,1
aggregate_robustness,camera_yaw,action,10,0.6073,0.1311,0
aggregate_robustness,camera_yaw,action,11,0.6166,0.1293,0
aggregate_robustness,camera_yaw,action,12,0.5525,0.1784,0
aggregate_robustness,camera_yaw,action,13,0.5884,0.1329,0
aggregate_robustness,camera_yaw,action,14,0.6009,0.1501,0
aggregate_robustness,camera_yaw,action,15,0.6061,0.1191,1
aggregate_robustness,camera_yaw,action,16,0.5441,0.1938,0
aggregate_robustness,camera_yaw,action,17,0.5681,0.1679,0
aggregate_robustness,camera_yaw,action,18,0.5846,0.1490,0
aggregate_robustness,camera_yaw,action,19,0.6104,0.1176,1
aggregate_robustness,camera_yaw,action,20,0.5901,0.1364,0
aggregate_robustness,camera_yaw,action,21,0.5968,0.1368,0
aggregate_robustness,camera_yaw,action,22,0.6279,0.1181,1
aggregate_robustness,camera_yaw,action,23,0.6068,0.1124,1
aggregate_robustness,camera_yaw,action,24,0.5922,0.1255,0
aggregate_robustness,camera_yaw,action,25,0.5743,0.1554,0
aggregate_robustness,camera_yaw,action,26,0.6193,0.1295,0
aggregate_robustness,camera_yaw,action,27,0.6756,0.0681,1
aggregate_robustness,camera_yaw,action,28,0.5785,0.1569,0
aggregate_robustness,camera_yaw,action,29,0.6110,0.1303,0
aggregate_robustness,camera_yaw,action,30,0.5816,0.1492,0
aggregate_robustness,camera_yaw,action,31,0.5954,0.1375,0
aggregate_robustness,camera_yaw,action,32,0.6105,0.1186,1
aggregate_robustness,camera_yaw,action,33,0.6553,0.0688,1
aggregate_robustness,camera_yaw,action,34,0.5866,0.1504,0
aggregate_robustness,camera_yaw,action,35,0.5957,0.1245,0
aggregate_robustness,camera_yaw,action,36,0.6013,0.1332,0
aggregate_robustness,camera_yaw,action,37,0.5984,0.1101,1
aggregate_robustness,camera_yaw,action,38,0.5858,0.1349,0
aggregate_robustness,camera_yaw,action,39,0.5733,0.1686,0
aggregate_robustness,camera_yaw,closed_loop,0,0.5364,0.1248,0
aggregate_robustness,camera_yaw,closed_loop,1,0.5323,0.1321,0
aggregate_robustness,camera_yaw,closed_loop,2,0.5624,0.0961,1
aggregate_robustness,camera_yaw,closed_loop,3,0.5289,0.1474,0
aggregate_robustness,camera_yaw,closed_loop,4,0.5686,0.0988,1
aggregate_robustness,camera_yaw,closed_loop,5,0.5266,0.1583,0
aggregate_robustness,camera_yaw,closed_loop,6,0.5277,0.1474,0
aggregate_robustness,camera_yaw,closed_loop,7,0.5406,0.1044,1
aggregate_robustness,camera_yaw,closed_loop,8,0.5424,0.1355,0
aggregate_robustness,camera_yaw,closed_loop,9,0.5453,0.1211,0
aggregate_robustness,camera_yaw,closed_loop,10,0.5427,0.1249,0
aggregate_robustness,camera_yaw,closed_loop,11,0.5672,0.0981,1
aggregate_robustness,camera_yaw,closed_loop,12,0.5731,0.0987,1
aggregate_robustness,camera_yaw,closed_loop,13,0.5604,0.1032,1
aggregate_robustness,camera_yaw,closed_loop,14,0.5521,0.1208,0
aggregate_robustness,camera_yaw,closed_loop,15,0.5542,0.1127,1
aggregate_robustness,camera_yaw,closed_loop,16,0.5144,0.1556,0
aggregate_robustness,camera_yaw,closed_loop,17,0.5712,0.0954,1
aggregate_robustness,camera_yaw,closed_loop,18,0.5985,0.0607,1
aggregate_robustness,camera_yaw,closed_loop,19,0.5457,0.1254,0
aggregate_robustness,camera_yaw,closed_loop,20,0.5845,0.1006,1
aggregate_robustness,camera_yaw,closed_loop,21,0.5261,0.1436,0
aggregate_robustness,camera_yaw,closed_loop,22,0.5735,0.0954,1
aggregate_robustness,camera_yaw,closed_loop,23,0.5596,0.1306,0
aggregate_robustness,camera_yaw,closed_loop,24,0.4907,0.1664,0
aggregate_robustness,camera_yaw,closed_loop,25,0.5217,0.1614,0
aggregate_robustness,camera_yaw,closed_loop,26,0.5138,0.1656,0
aggregate_robustness,camera_yaw,closed_loop,27,0.5151,0.1551,0
aggregate_robustness,camera_yaw,closed_loop,28,0.5151,0.1455,0
aggregate_robustness,camera_yaw,closed_loop,29,0.5279,0.1445,0
aggregate_robustness,camera_yaw,closed_loop,30,0.5089,0.1468,0
aggregate_robustness,camera_yaw,closed_loop,31,0.5458,0.1260,0
aggregate_robustness,camera_yaw,closed_loop,32,0.5104,0.1567,0
aggregate_robustness,camera_yaw,closed_loop,33,0.5949,0.0833,1
aggregate_robustness,camera_yaw,closed_loop,34,0.4983,0.1862,0
aggregate_robustness,camera_yaw,closed_loop,35,0.5319,0.1431,0
aggregate_robustness,camera_yaw,closed_loop,36,0.5693,0.0867,1
aggregate_robustness,camera_yaw,closed_loop,37,0.5093,0.1642,0
aggregate_robustness,camera_yaw,closed_loop,38,0.5211,0.1504,0
aggregate_robustness,camera_yaw,closed_loop,39,0.5697,0.1005,1
aggregate_robustness,lighting_texture,perception,0,0.8436,0.0913,1
aggregate_robustness,lighting_texture,perception,1,0.8761,0.0400,1
aggregate_robustness,lighting_texture,perception,2,0.8868,0.0312,1
aggregate_robustness,lighting_texture,perception,3,0.8525,0.0610,1
aggregate_robustness,lighting_texture,perception,4,0.8217,0.0960,1
aggregate_robustness,lighting_texture,perception,5,0.8473,0.0601,1
aggregate_robustness,lighting_texture,perception,6,0.8280,0.0995,1
aggregate_robustness,lighting_texture,perception,7,0.9008,0.0125,1
aggregate_robustness,lighting_texture,perception,8,0.8614,0.0685,1
aggregate_robustness,lighting_texture,perception,9,0.8600,0.0603,1
aggregate_robustness,lighting_texture,perception,10,0.8765,0.0448,1
aggregate_robustness,lighting_texture,perception,11,0.8268,0.0776,1
aggregate_robustness,lighting_texture,perception,12,0.8383,0.0847,1
aggregate_robustness,lighting_texture,perception,13,0.8585,0.0621,1
aggregate_robustness,lighting_texture,perception,14,0.8255,0.1013,1
aggregate_robustness,lighting_texture,perception,15,0.8367,0.0842,1
aggregate_robustness,lighting_texture,perception,16,0.8520,0.0637,1
aggregate_robustness,lighting_texture,perception,17,0.8597,0.0567,1
aggregate_robustness,lighting_texture,perception,18,0.8400,0.0792,1
aggregate_robustness,lighting_texture,perception,19,0.8588,0.0557,1
aggregate_robustness,lighting_texture,perception,20,0.8306,0.0945,1
aggregate_robustness,lighting_texture,perception,21,0.8774,0.0294,1
aggregate_robustness,lighting_texture,perception,22,0.8709,0.0550,1
aggregate_robustness,lighting_texture,perception,23,0.8112,0.1180,1
aggregate_robustness,lighting_texture,perception,24,0.8563,0.0538,1
aggregate_robustness,lighting_texture,perception,25,0.8462,0.0790,1
aggregate_robustness,lighting_texture,perception,26,0.8412,0.0868,1
aggregate_robustness,lighting_texture,perception,27,0.8792,0.0494,1
aggregate_robustness,lighting_texture,perception,28,0.8400,0.0863,1
aggregate_robustness,lighting_texture,perception,29,0.8568,0.0615,1
aggregate_robustness,lighting_texture,perception,30,0.8427,0.0857,1
aggregate_robustness,lighting_texture,perception,31,0.8579,0.0545,1
aggregate_robustness,lighting_texture,perception,32,0.7990,0.1187,1
aggregate_robustness,lighting_texture,perception,33,0.8153,0.1085,1
aggregate_robustness,lighting_texture,perception,34,0.8283,0.0889,1
aggregate_robustness,lighting_texture,perception,35,0.8272,0.1013,1
aggregate_robustness,lighting_texture,perception,36,0.7945,0.1340,0
aggregate_robustness,lighting_texture,perception,37,0.8528,0.0672,1
aggregate_robustness,lighting_texture,perception,38,0.8913,0.0262,1
aggregate_robustness,lighting_texture,perception,39,0.8614,0.0474,1
aggregate_robustness,lighting_texture,latent_memory,0,0.8398,0.0000,1
aggregate_robustness,lighting_texture,latent_memory,1,0.7472,0.0869,1
aggregate_robustness,lighting_texture,latent_memory,2,0.7317,0.1104,1
aggregate_robustness,lighting_texture,latent_memory,3,0.7391,0.1038,1
aggregate_robustness,lighting_texture,latent_memory,4,0.7812,0.0597,1
aggregate_robustness,lighting_texture,latent_memory,5,0.7697,0.0538,1
aggregate_robustness,lighting_texture,latent_memory,6,0.7690,0.0741,1
aggregate_robustness,lighting_texture,latent_memory,7,0.7866,0.0445,1
aggregate_robustness,lighting_texture,latent_memory,8,0.7539,0.0807,1
aggregate_robustness,lighting_texture,latent_memory,9,0.7623,0.0551,1
aggregate_robustness,lighting_texture,latent_memory,10,0.7523,0.0849,1
aggregate_robustness,lighting_texture,latent_memory,11,0.7516,0.0865,1
aggregate_robustness,lighting_texture,latent_memory,12,0.7296,0.1104,1
aggregate_robustness,lighting_texture,latent_memory,13,0.7786,0.0498,1
aggregate_robustness,lighting_texture,latent_memory,14,0.7751,0.0371,1
aggregate_robustness,lighting_texture,latent_memory,15,0.7442,0.0838,1
aggregate_robustness,lighting_texture,latent_memory,16,0.7671,0.0650,1
aggregate_robustness,lighting_texture,latent_memory,17,0.7358,0.0907,1
aggregate_robustness,lighting_texture,latent_memory,18,0.7621,0.0580,1
aggregate_robustness,lighting_texture,latent_memory,19,0.7607,0.0725,1
aggregate_robustness,lighting_texture,latent_memory,20,0.7532,0.0767,1
aggregate_robustness,lighting_texture,latent_memory,21,0.7539,0.0725,1
aggregate_robustness,lighting_texture,latent_memory,22,0.7430,0.0738,1
aggregate_robustness,lighting_texture,latent_memory,23,0.7442,0.0938,1
aggregate_robustness,lighting_texture,latent_memory,24,0.7390,0.0859,1
aggregate_robustness,lighting_texture,latent_memory,25,0.7966,0.0122,1
aggregate_robustness,lighting_texture,latent_memory,26,0.7319,0.0940,1
aggregate_robustness,lighting_texture,latent_memory,27,0.7411,0.1072,1
aggregate_robustness,lighting_texture,latent_memory,28,0.7583,0.0719,1
aggregate_robustness,lighting_texture,latent_memory,29,0.7584,0.0680,1
aggregate_robustness,lighting_texture,latent_memory,30,0.7562,0.0827,1
aggregate_robustness,lighting_texture,latent_memory,31,0.7461,0.0773,1
aggregate_robustness,lighting_texture,latent_memory,32,0.7856,0.0552,1
aggregate_robustness,lighting_texture,latent_memory,33,0.7801,0.0320,1
aggregate_robustness,lighting_texture,latent_memory,34,0.7825,0.0376,1
aggregate_robustness,lighting_texture,latent_memory,35,0.7592,0.0809,1
aggregate_robustness,lighting_texture,latent_memory,36,0.8005,0.0197,1
aggregate_robustness,lighting_texture,latent_memory,37,0.7531,0.0708,1
aggregate_robustness,lighting_texture,latent_memory,38,0.7597,0.0556,1
aggregate_robustness,lighting_texture,latent_memory,39,0.8044,0.0213,1
aggregate_robustness,lighting_texture,action,0,0.6294,0.1105,1
aggregate_robustness,lighting_texture,action,1,0.6264,0.0897,1
aggregate_robustness,lighting_texture,action,2,0.6338,0.1045,1
aggregate_robustness,lighting_texture,action,3,0.6079,0.1315,0
aggregate_robustness,lighting_texture,action,4,0.6072,0.1217,0
aggregate_robustness,lighting_texture,action,5,0.5923,0.1546,0
aggregate_robustness,lighting_texture,action,6,0.6426,0.1028,1
aggregate_robustness,lighting_texture,action,7,0.6410,0.0788,1
aggregate_robustness,lighting_texture,action,8,0.6127,0.1141,1
aggregate_robustness,lighting_texture,action,9,0.6132,0.1130,1
aggregate_robustness,lighting_texture,action,10,0.6019,0.1256,0
aggregate_robustness,lighting_texture,action,11,0.6573,0.0825,1
aggregate_robustness,lighting_texture,action,12,0.6366,0.0948,1
aggregate_robustness,lighting_texture,action,13,0.6407,0.0967,1
aggregate_robustness,lighting_texture,action,14,0.6021,0.1289,0
aggregate_robustness,lighting_texture,action,15,0.6096,0.1159,1
aggregate_robustness,lighting_texture,action,16,0.5959,0.1379,0
aggregate_robustness,lighting_texture,action,17,0.5837,0.1578,0
aggregate_robustness,lighting_texture,action,18,0.6164,0.1212,0
aggregate_robustness,lighting_texture,action,19,0.6052,0.1204,0
aggregate_robustness,lighting_texture,action,20,0.6120,0.1087,1
aggregate_robustness,lighting_texture,action,21,0.6096,0.1304,0
aggregate_robustness,lighting_texture,action,22,0.6215,0.1054,1
aggregate_robustness,lighting_texture,action,23,0.6158,0.1124,1
aggregate_robustness,lighting_texture,action,24,0.6682,0.0582,1
aggregate_robustness,lighting_texture,action,25,0.6370,0.1015,1
aggregate_robustness,lighting_texture,action,26,0.5915,0.1538,0
aggregate_robustness,lighting_texture,action,27,0.6111,0.1268,0
aggregate_robustness,lighting_texture,action,28,0.5819,0.1592,0
aggregate_robustness,lighting_texture,action,29,0.6399,0.0806,1
aggregate_robustness,lighting_texture,action,30,0.6143,0.1117,1
aggregate_robustness,lighting_texture,action,31,0.6318,0.0877,1
aggregate_robustness,lighting_texture,action,32,0.6233,0.1356,0
aggregate_robustness,lighting_texture,action,33,0.5947,0.1165,1
aggregate_robustness,lighting_texture,action,34,0.6139,0.1184,1
aggregate_robustness,lighting_texture,action,35,0.5780,0.1836,0
aggregate_robustness,lighting_texture,action,36,0.6313,0.0917,1
aggregate_robustness,lighting_texture,action,37,0.5914,0.1262,0
aggregate_robustness,lighting_texture,action,38,0.5712,0.1650,0
aggregate_robustness,lighting_texture,action,39,0.6394,0.0861,1
aggregate_robustness,lighting_texture,closed_loop,0,0.5305,0.1289,0
aggregate_robustness,lighting_texture,closed_loop,1,0.4863,0.1850,0
aggregate_robustness,lighting_texture,closed_loop,2,0.5534,0.1090,1
aggregate_robustness,lighting_texture,closed_loop,3,0.5094,0.1570,0
aggregate_robustness,lighting_texture,closed_loop,4,0.5305,0.1333,0
aggregate_robustness,lighting_texture,closed_loop,5,0.5460,0.1443,0
aggregate_robustness,lighting_texture,closed_loop,6,0.5556,0.1209,0
aggregate_robustness,lighting_texture,closed_loop,7,0.5302,0.1295,0
aggregate_robustness,lighting_texture,closed_loop,8,0.5148,0.1473,0
aggregate_robustness,lighting_texture,closed_loop,9,0.4973,0.1794,0
aggregate_robustness,lighting_texture,closed_loop,10,0.5356,0.1277,0
aggregate_robustness,lighting_texture,closed_loop,11,0.5644,0.1104,1
aggregate_robustness,lighting_texture,closed_loop,12,0.5469,0.1208,0
aggregate_robustness,lighting_texture,closed_loop,13,0.5886,0.0745,1
aggregate_robustness,lighting_texture,closed_loop,14,0.5395,0.1356,0
aggregate_robustness,lighting_texture,closed_loop,15,0.5362,0.1365,0
aggregate_robustness,lighting_texture,closed_loop,16,0.5404,0.1177,1
aggregate_robustness,lighting_texture,closed_loop,17,0.5383,0.1339,0
aggregate_robustness,lighting_texture,closed_loop,18,0.5603,0.0964,1
aggregate_robustness,lighting_texture,closed_loop,19,0.5388,0.1436,0
aggregate_robustness,lighting_texture,closed_loop,20,0.5580,0.1031,1
aggregate_robustness,lighting_texture,closed_loop,21,0.5717,0.0988,1
aggregate_robustness,lighting_texture,closed_loop,22,0.5488,0.1197,1
aggregate_robustness,lighting_texture,closed_loop,23,0.5792,0.0799,1
aggregate_robustness,lighting_texture,closed_loop,24,0.5452,0.1318,0
aggregate_robustness,lighting_texture,closed_loop,25,0.5837,0.0788,1
aggregate_robustness,lighting_texture,closed_loop,26,0.5474,0.1156,1
aggregate_robustness,lighting_texture,closed_loop,27,0.5975,0.0962,1
aggregate_robustness,lighting_texture,closed_loop,28,0.5039,0.1581,0
aggregate_robustness,lighting_texture,closed_loop,29,0.4931,0.1859,0
aggregate_robustness,lighting_texture,closed_loop,30,0.5620,0.0980,1
aggregate_robustness,lighting_texture,closed_loop,31,0.5197,0.1473,0
aggregate_robustness,lighting_texture,closed_loop,32,0.5630,0.1037,1
aggregate_robustness,lighting_texture,closed_loop,33,0.5608,0.1025,1
aggregate_robustness,lighting_texture,closed_loop,34,0.5639,0.1046,1
aggregate_robustness,lighting_texture,closed_loop,35,0.5545,0.1037,1
aggregate_robustness,lighting_texture,closed_loop,36,0.5951,0.0615,1
aggregate_robustness,lighting_texture,closed_loop,37,0.5202,0.1481,0
aggregate_robustness,lighting_texture,closed_loop,38,0.5430,0.1180,1
aggregate_robustness,lighting_texture,closed_loop,39,0.5253,0.1528,0
aggregate_robustness,object_identity_swap,perception,0,0.7517,0.1490,0
aggregate_robustness,object_identity_swap,perception,1,0.7849,0.1447,0
aggregate_robustness,object_identity_swap,perception,2,0.7679,0.1384,0
aggregate_robustness,object_identity_swap,perception,3,0.7849,0.1383,0
aggregate_robustness,object_identity_swap,perception,4,0.7410,0.1884,0
aggregate_robustness,object_identity_swap,perception,5,0.7480,0.1653,0
aggregate_robustness,object_identity_swap,perception,6,0.7672,0.1638,0
aggregate_robustness,object_identity_swap,perception,7,0.7237,0.2019,0
aggregate_robustness,object_identity_swap,perception,8,0.7634,0.1651,0
aggregate_robustness,object_identity_swap,perception,9,0.7876,0.1326,0
aggregate_robustness,object_identity_swap,perception,10,0.7526,0.1685,0
aggregate_robustness,object_identity_swap,perception,11,0.7355,0.1756,0
aggregate_robustness,object_identity_swap,perception,12,0.7721,0.1441,0
aggregate_robustness,object_identity_swap,perception,13,0.7652,0.1664,0
aggregate_robustness,object_identity_swap,perception,14,0.7701,0.1499,0
aggregate_robustness,object_identity_swap,perception,15,0.7881,0.1436,0
aggregate_robustness,object_identity_swap,perception,16,0.7742,0.1308,0
aggregate_robustness,object_identity_swap,perception,17,0.7733,0.1451,0
aggregate_robustness,object_identity_swap,perception,18,0.7948,0.1188,1
aggregate_robustness,object_identity_swap,perception,19,0.7788,0.1451,0
aggregate_robustness,object_identity_swap,perception,20,0.7620,0.1633,0
aggregate_robustness,object_identity_swap,perception,21,0.7928,0.1335,0
aggregate_robustness,object_identity_swap,perception,22,0.7979,0.1281,0
aggregate_robustness,object_identity_swap,perception,23,0.7387,0.1845,0
aggregate_robustness,object_identity_swap,perception,24,0.7351,0.1752,0
aggregate_robustness,object_identity_swap,perception,25,0.7546,0.1696,0
aggregate_robustness,object_identity_swap,perception,26,0.7592,0.1570,0
aggregate_robustness,object_identity_swap,perception,27,0.8198,0.1134,1
aggregate_robustness,object_identity_swap,perception,28,0.8065,0.1290,0
aggregate_robustness,object_identity_swap,perception,29,0.8042,0.1250,0
aggregate_robustness,object_identity_swap,perception,30,0.7892,0.1286,0
aggregate_robustness,object_identity_swap,perception,31,0.7667,0.1519,0
aggregate_robustness,object_identity_swap,perception,32,0.7832,0.1411,0
aggregate_robustness,object_identity_swap,perception,33,0.7598,0.1696,0
aggregate_robustness,object_identity_swap,perception,34,0.7761,0.1387,0
aggregate_robustness,object_identity_swap,perception,35,0.8065,0.1193,1
aggregate_robustness,object_identity_swap,perception,36,0.7966,0.1205,0
aggregate_robustness,object_identity_swap,perception,37,0.7908,0.1289,0
aggregate_robustness,object_identity_swap,perception,38,0.7911,0.1177,1
aggregate_robustness,object_identity_swap,perception,39,0.7584,0.1567,0
aggregate_robustness,object_identity_swap,latent_memory,0,0.6593,0.1623,0
aggregate_robustness,object_identity_swap,latent_memory,1,0.6728,0.1746,0
aggregate_robustness,object_identity_swap,latent_memory,2,0.6694,0.1535,0
aggregate_robustness,object_identity_swap,latent_memory,3,0.6754,0.1504,0
aggregate_robustness,object_identity_swap,latent_memory,4,0.6501,0.1883,0
aggregate_robustness,object_identity_swap,latent_memory,5,0.6722,0.1442,0
aggregate_robustness,object_identity_swap,latent_memory,6,0.6769,0.1513,0
aggregate_robustness,object_identity_swap,latent_memory,7,0.7131,0.1151,1
aggregate_robustness,object_identity_swap,latent_memory,8,0.6595,0.1780,0
aggregate_robustness,object_identity_swap,latent_memory,9,0.6863,0.1493,0
aggregate_robustness,object_identity_swap,latent_memory,10,0.6941,0.1414,0
aggregate_robustness,object_identity_swap,latent_memory,11,0.7073,0.1140,1
aggregate_robustness,object_identity_swap,latent_memory,12,0.7033,0.1179,1
aggregate_robustness,object_identity_swap,latent_memory,13,0.6720,0.1699,0
aggregate_robustness,object_identity_swap,latent_memory,14,0.6728,0.1734,0
aggregate_robustness,object_identity_swap,latent_memory,15,0.6323,0.1900,0
aggregate_robustness,object_identity_swap,latent_memory,16,0.7049,0.1309,0
aggregate_robustness,object_identity_swap,latent_memory,17,0.7008,0.1287,0
aggregate_robustness,object_identity_swap,latent_memory,18,0.6796,0.1610,0
aggregate_robustness,object_identity_swap,latent_memory,19,0.7014,0.1385,0
aggregate_robustness,object_identity_swap,latent_memory,20,0.6983,0.1431,0
aggregate_robustness,object_identity_swap,latent_memory,21,0.7105,0.1233,0
aggregate_robustness,object_identity_swap,latent_memory,22,0.6148,0.1880,0
aggregate_robustness,object_identity_swap,latent_memory,23,0.6936,0.1335,0
aggregate_robustness,object_identity_swap,latent_memory,24,0.7022,0.1323,0
aggregate_robustness,object_identity_swap,latent_memory,25,0.7063,0.1285,0
aggregate_robustness,object_identity_swap,latent_memory,26,0.7048,0.1276,0
aggregate_robustness,object_identity_swap,latent_memory,27,0.6830,0.1621,0
aggregate_robustness,object_identity_swap,latent_memory,28,0.6749,0.1705,0
aggregate_robustness,object_identity_swap,latent_memory,29,0.7034,0.1284,0
aggregate_robustness,object_identity_swap,latent_memory,30,0.7040,0.1284,0
aggregate_robustness,object_identity_swap,latent_memory,31,0.6757,0.1448,0
aggregate_robustness,object_identity_swap,latent_memory,32,0.6358,0.1872,0
aggregate_robustness,object_identity_swap,latent_memory,33,0.7157,0.1305,0
aggregate_robustness,object_identity_swap,latent_memory,34,0.6890,0.1580,0
aggregate_robustness,object_identity_swap,latent_memory,35,0.6642,0.1684,0
aggregate_robustness,object_identity_swap,latent_memory,36,0.6847,0.1381,0
aggregate_robustness,object_identity_swap,latent_memory,37,0.6989,0.1388,0
aggregate_robustness,object_identity_swap,latent_memory,38,0.6776,0.1634,0
aggregate_robustness,object_identity_swap,latent_memory,39,0.6989,0.1292,0
aggregate_robustness,object_identity_swap,action,0,0.5224,0.1985,0
aggregate_robustness,object_identity_swap,action,1,0.5073,0.2367,0
aggregate_robustness,object_identity_swap,action,2,0.5133,0.2312,0
aggregate_robustness,object_identity_swap,action,3,0.5548,0.1606,0
