paper_id,query_seed,title,year,venue,author0,doi,url,score,problem_claimed,mechanism,hidden_assumptions,fixed_variables,ignored_failures,less_novel,open_questions
30,robot manipulation learning,Robot Manipulation of Dynamic Object with Vision-Based Reinforcement Learning,2024,2024 9th International Conference on Control and Robotics Engineering (ICCRE),Chenchen Liu,10.1109/iccre61448.2024.10589748,https://doi.org/10.1109/iccre61448.2024.10589748,7,,,,,,,
31,robot manipulation learning,Deep Reinforcement Learning for Foundational Control of a Continuum Robot Towards Cooperative Manipulation,2025,2025 7th Novel Intelligent and Leading Emerging Sciences Conference (NILES),Motaz Elsaman,10.1109/niles68063.2025.11232046,https://doi.org/10.1109/niles68063.2025.11232046,7,,,,,,,
32,robot manipulation learning,Design of a Mobile Manipulation Robot for Learning-Optimization Hybrid Grasping,2025,"2025 6th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",Yuning Cao,10.1109/airc64931.2025.11077533,https://doi.org/10.1109/airc64931.2025.11077533,7,,,,,,,
33,embodied intelligence invariance,Development of intelligent robots in the wave of embodied intelligence,2025,National Science Review,Weijie Zhao,10.1093/nsr/nwaf159,https://doi.org/10.1093/nsr/nwaf159,7,,,,,,,
34,embodied intelligence invariance,Distributed Sensing Enabled Embodied Intelligence for Soft Finger Manipulation,2025,Actuators,Chukwuemeka Ochieze,10.3390/act14070348,https://doi.org/10.3390/act14070348,7,,,,,,,
35,sim to real robotics,GRADE: Generating Realistic and Dynamic Environments for robotics research with Isaac Sim,2025,The International Journal of Robotics Research,Elia Bonetto,10.1177/02783649251346211,https://doi.org/10.1177/02783649251346211,7,,,,,,,
36,robot foundation model manipulation,Surfer: A World Model-Based Framework for Vision-Language Robot Manipulation,2025,IEEE Transactions on Neural Networks and Learning Systems,Pengzhen Ren,10.1109/tnnls.2025.3594117,https://doi.org/10.1109/tnnls.2025.3594117,7,,,,,,,
37,robot tactile perception,Tactile perception and object grasping of a dexterous hand in a humanoid robot,2025,Proceedings of the 2025 5th International Conference on Robotics and Control Engineering,Kangheng Liu,10.1145/3733774.3735332,https://doi.org/10.1145/3733774.3735332,7,,,,,,,
38,robot tactile perception,"Vision-Based Proximity and Tactile Sensing for Robot Arms: Design, Perception, and Control",2025,IEEE Transactions on Robotics,Quan Khanh Luu,10.1109/tro.2025.3593087,https://doi.org/10.1109/tro.2025.3593087,7,,,,,,,
39,robot tactile perception,"Vision-based Proximity and Tactile Sensing for Robot Arms: Design, Perception, and Control_supp1-3593087.mp4",2025,,Van Ho,10.1109/tro.2025.3593087/mm1,https://doi.org/10.1109/tro.2025.3593087/mm1,7,,,,,,,
40,robot tactile perception,Visual-tactile perception for a biomimetic robot in constrained environments,2025,Bioinspiration &amp; Biomimetics,Yulai Zhang,10.1088/1748-3190/ae224d,https://doi.org/10.1088/1748-3190/ae224d,7,,,,,,,
41,robot foundation model manipulation,What foundation models can bring for robot learning in manipulation: A survey,2025,The International Journal of Robotics Research,Dingzhe Li,10.1177/02783649251390579,https://doi.org/10.1177/02783649251390579,7,,,,,,,
42,embodied intelligence invariance,DeepTouch: Embodied Intelligence with Vision-Tactile Fusion for Dexterous Manipulation,2026,"Guidance, Navigation and Control",Wenzhuang Li,10.1142/s2737480726030020,https://doi.org/10.1142/s2737480726030020,7,,,,,,,
43,embodied intelligence invariance,Embodied Intelligence in Wearable Robotics,2026,IOP Conference Series: Materials Science and Engineering,Chen Hu,10.1088/1757-899x/1343/1/012014,https://doi.org/10.1088/1757-899x/1343/1/012014,7,,,,,,,
44,embodied intelligence invariance,Embodied Team Intelligence in Multi-Robot Systems,2026,International Joint Conference on Autonomous Agents and Multiagent Systems,Esmaeil Seraj,10.65109/txsu5630,https://doi.org/10.65109/txsu5630,7,,,,,,,
45,robot tactile perception,Simultaneous Tactile-Visual Perception for Learning Multimodal Robot Manipulation,2026,IEEE Robotics and Automation Letters,Yuyang Li,10.1109/lra.2026.3671701,https://doi.org/10.1109/lra.2026.3671701,7,,,,,,,
46,robot tactile perception,Simultaneous Tactile-Visual Perception for Learning Multimodal Robot Manipulation_supp1-3671701.mp4,2026,,Yixin Zhu,10.1109/lra.2026.3671701/mm1,https://doi.org/10.1109/lra.2026.3671701/mm1,7,,,,,,,
47,robot planning learning,"Integrating map learning, localization and planning in a mobile robot",2002,Proceedings of the 1998 IEEE International Symposium on Intelligent Control (ISIC) held jointly with IEEE International Symposium on Computational Intelligence in Robotics and Automation (CIRA) Intelligent Systems and Semiotics (ISAS) (Cat. No.98CH36262),B. Yamauchi,10.1109/isic.1998.713683,https://doi.org/10.1109/isic.1998.713683,6,,,,,,,
48,robot 3D perception,Perception planning in mobile robot navigation,2002,Proceedings of 1994 IEEE International Conference on MFI '94. Multisensor Fusion and Integration for Intelligent Systems,H. Xu,10.1109/mfi.1994.398383,https://doi.org/10.1109/mfi.1994.398383,6,,,,,,,
49,robot world model,Vision-based robot navigation in the 3D world,2002,"1993 4th Annual Conference on AI, Simulation and Planning in High Autonomy Systems",L. Preucil,10.1109/aihas.1993.410595,https://doi.org/10.1109/aihas.1993.410595,6,,,,,,,
50,robot planning learning,A case-based reinforcement learning for probe robot path planning,2003,Proceedings of the 4th World Congress on Intelligent Control and Automation (Cat. No.02EX527),Yang Li,10.1109/wcica.2002.1020762,https://doi.org/10.1109/wcica.2002.1020762,6,,,,,,,
51,robot foundation model manipulation,A foundation for robot learning,2005,"The Fourth International Conference on Control and Automation, 2003. ICCA. Final Program and Book of Abstracts.",Slang Kok Sim,10.1109/icca.2003.1229184,https://doi.org/10.1109/icca.2003.1229184,6,,,,,,,
52,robot control learning,Iterative learning control of wheeled robot trajectory tracking,2005,"ICARCV 2004 8th Control, Automation, Robotics and Vision Conference, 2004.",Guo Yu,10.1109/icarcv.2004.1469315,https://doi.org/10.1109/icarcv.2004.1469315,6,,,,,,,
53,robot tactile perception,An Anthropomorphic Robot Finger for Investigating Artificial Tactile Perception,2007,The International Journal of Robotics Research,Paolo Dario,10.1177/027836498700600302,https://doi.org/10.1177/027836498700600302,6,,,,,,,
54,robot foundation model manipulation,Autonomous vision-guided robot manipulation control,2007,Lecture Notes in Computer Science,Wey-Shiuan Hwang,10.1007/3-540-63931-4_255,https://doi.org/10.1007/3-540-63931-4_255,6,,,,,,,
55,robot foundation model manipulation,Modeling and learning robot manipulation strategies,2007,Lecture Notes in Control and Information Sciences,Jiming Liu,10.1007/bfb0113002,https://doi.org/10.1007/bfb0113002,6,,,,,,,
56,robot 3D perception,3D Perception and Environment Map Generation for Humanoid Robot Navigation,2008,The International Journal of Robotics Research,Jens-Steffen Gutmann,10.1177/0278364908096316,https://doi.org/10.1177/0278364908096316,6,,,,,,,
57,robot world model,A CHOREOGRAPHIC ROBOT VISION MODEL,2008,Kybernetes,LEO C. DRISCOLL,10.1108/eb005378,https://doi.org/10.1108/eb005378,6,,,,,,,
58,robot state estimation learning,Sparse incremental learning for interactive robot control policy estimation,2008,2008 IEEE International Conference on Robotics and Automation,Daniel H Grollman,10.1109/robot.2008.4543716,https://doi.org/10.1109/robot.2008.4543716,6,,,,,,,
59,robot invariance,Vision-based range estimation via Immersion and Invariance for robot formation control,2008,2008 IEEE International Conference on Robotics and Automation,Fabio Morbidi,10.1109/robot.2008.4543257,https://doi.org/10.1109/robot.2008.4543257,6,,,,,,,
60,robot control learning,Combining active learning and reactive control for robot grasping,2010,Robotics and Autonomous Systems,O.B. Kroemer,10.1016/j.robot.2010.06.001,https://doi.org/10.1016/j.robot.2010.06.001,6,,,,,,,
61,robot foundation model manipulation,A Foundation for Robot Learning,2011,The Fourth International Conference on Control and Automation 2003 ICCA Final Program and Book of Abstracts ICCA-03,Siang Kok Sim,10.1109/icca.2003.1595102,https://doi.org/10.1109/icca.2003.1595102,6,,,,,,,
62,robot planning learning,Conditional Q-learning algorithm for path-planning of a mobile robot,2011,"2010 International Conference on Industrial Electronics, Control and Robotics",Indrani Goswami,10.1109/iecr.2010.5720165,https://doi.org/10.1109/iecr.2010.5720165,6,,,,,,,
63,robot planning learning,Learning Type Trajectory Planning for a Biped Locomotive Robot,2011,"Transactions of the Institute of Systems, Control and Information Engineers",Yasuo KUREMATSU,10.5687/iscie.4.312,https://doi.org/10.5687/iscie.4.312,6,,,,,,,
64,robot planning learning,A kinodynamic planning-learning algorithm for complex robot motor control,2012,2012 IEEE Conference on Evolving and Adaptive Intelligent Systems,Javier Gonzalez-Quijano,10.1109/eais.2012.6232809,https://doi.org/10.1109/eais.2012.6232809,6,,,,,,,
65,robot planning learning,Combining Vision Learning and Interaction for Mobile Robot Path Planning,2012,International Journal of Advanced Robotic Systems,Jiatong Bao,10.5772/50827,https://doi.org/10.5772/50827,6,,,,,,,
66,robot planning learning,FOOTSTEP PLANNING FOR BIPED ROBOT BASED ON FUZZY Q-LEARNING APPROACH,2012,"Proceedings of the Fifth International Conference on Informatics in Control, Automation and Robotics Service",,10.5220/0001486701830188,https://doi.org/10.5220/0001486701830188,6,,,,,,,
67,robot foundation model manipulation,Humanoid Robot Locomotion and Manipulation Step Planning,2012,Advanced Robotics,Karim Bouyarmane,10.1080/01691864.2012.686345,https://doi.org/10.1080/01691864.2012.686345,6,,,,,,,
68,robot planning learning,Robot Learning from Demonstration: A Task-level Planning Approach,2012,International Journal of Advanced Robotic Systems,Staffan Ekvall,10.5772/5611,https://doi.org/10.5772/5611,6,,,,,,,
69,robot manipulation learning,Learning Compliant Manipulation through Kinesthetic and Tactile Human-Robot Interaction,2013,IEEE Transactions on Haptics,Klas Kronander,10.1109/toh.2013.54,https://doi.org/10.1109/toh.2013.54,6,,,,,,,
70,robot control learning,Rapid Learning for Robot Vision and Control,2013,Studies in Cognitive Systems,Jörg Walter,10.1007/978-94-010-0870-9_68,https://doi.org/10.1007/978-94-010-0870-9_68,6,,,,,,,
71,robot dynamics learning,Temporal logic robot control based on automata learning of environmental dynamics,2013,The International Journal of Robotics Research,Yushan Chen,10.1177/0278364912473168,https://doi.org/10.1177/0278364912473168,6,,,,,,,
72,robot foundation model manipulation,Bio-Inspired Robot Control for Human-Robot Bi-Manual Manipulation,2014,"Volume 3: Nonlinear Estimation and Control; Optimization and Optimal Control; Piezoelectric Actuation and Nanoscale Control; Robotics and Manipulators; Sensing; System Identification (Estimation for Automotive Applications, Modeling, Therapeutic Control in Bio-Systems); Variable Structure/Sliding-Mode Control; Vehicles and Human Robotics; Vehicle Dynamics and Control; Vehicle Path Planning and Collision Avoidance; Vibrational and Mechanical Systems; Wind Energy Systems and Control",Stephen Warren,10.1115/dscc2013-3834,https://doi.org/10.1115/dscc2013-3834,6,,,,,,,
73,robot foundation model manipulation,Learning robot tactile sensing for object manipulation,2014,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,Yevgen Chebotar,10.1109/iros.2014.6943031,https://doi.org/10.1109/iros.2014.6943031,6,,,,,,,
74,robot planning learning,Path planning for robot using Population-Based Incremental Learning,2014,"The 4th Annual IEEE International Conference on Cyber Technology in Automation, Control and Intelligent",Miao Xu,10.1109/cyber.2014.6917510,https://doi.org/10.1109/cyber.2014.6917510,6,,,,,,,
75,robot control learning,Policy search for learning robot control using sparse data,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),B. Bischoff,10.1109/icra.2014.6907422,https://doi.org/10.1109/icra.2014.6907422,6,,,,,,,
76,robot manipulation learning,Learning robot in-hand manipulation with tactile features,2015,2015 IEEE-RAS 15th International Conference on Humanoid Robots (Humanoids),Herke van Hoof,10.1109/humanoids.2015.7363524,https://doi.org/10.1109/humanoids.2015.7363524,6,,,,,,,
77,robot manipulation learning,Reinforcement learning of variable admittance control for human-robot co-manipulation,2015,2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Fotios Dimeas,10.1109/iros.2015.7353494,https://doi.org/10.1109/iros.2015.7353494,6,,,,,,,
78,robot planning learning,Active Policy Learning for Robot Planning and Exploration under Uncertainty,2016,Robotics: Science and Systems III,R. Martinez-Cantin,10.15607/rss.2007.iii.041,https://doi.org/10.15607/rss.2007.iii.041,6,,,,,,,
79,robot planning learning,Learning Contracting Nonlinear Dynamics From Human Demonstration for Robot Motion Planning,2016,Volume 2: Diagnostics and Detection; Drilling; Dynamics and Control of Wind Energy Systems; Energy Harvesting; Estimation and Identification; Flexible and Smart Structure Control; Fuels Cells/Energy Storage; Human Robot Interaction; HVAC Building Energy Management; Industrial Applications; Intelligent Transportation Systems; Manufacturing; Mechatronics; Modelling and Validation; Motion and Vibration Control Applications,Harish Ravichandar,10.1115/dscc2015-9870,https://doi.org/10.1115/dscc2015-9870,6,,,,,,,
80,robot manipulation learning,113 View-based Robot Programming with Reinforcement Learning for Manipulation tasks,2017,The Proceedings of Manufacturing Systems Division Conference,Takumi WATANABE,10.1299/jsmemsd.2011.69,https://doi.org/10.1299/jsmemsd.2011.69,6,,,,,,,
81,robot control learning,Grasping Control of a Robot Hand by Reinforcement Learning,2017,"IEEJ Transactions on Electronics, Information and Systems",Noboru Sugio,10.1541/ieejeiss1987.121.4_710,https://doi.org/10.1541/ieejeiss1987.121.4_710,6,,,,,,,
82,robot representation learning,Learning peripersonal space representation in a humanoid robot with artificial skin,2017,AI Matters,Alessandro Roncone,10.1145/3054837.3054843,https://doi.org/10.1145/3054837.3054843,6,,,,,,,
83,robot planning learning,Vision-Based Robot Path Planning with Deep Learning,2017,Lecture Notes in Computer Science,Ping Wu,10.1007/978-3-319-68345-4_9,https://doi.org/10.1007/978-3-319-68345-4_9,6,,,,,,,
84,robot manipulation learning,A Learning-Based Hierarchical Control Scheme for an Exoskeleton Robot in Human–Robot Cooperative Manipulation,2018,IEEE Transactions on Cybernetics,Mingdi Deng,10.1109/tcyb.2018.2864784,https://doi.org/10.1109/tcyb.2018.2864784,6,,,,,,,
85,robot tactile perception,A sensorimotor account of visual and tactile integration for depth perception: An iCub robot experiment,2018,2017 Joint IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob),Marti Sanchez-Fibla,10.1109/devlrn.2017.8329792,https://doi.org/10.1109/devlrn.2017.8329792,6,,,,,,,
86,robot planning learning,Active Policy Learning for Robot Planning and Exploration under Uncertainty,2018,Robotics,Ruben Martinez-Cantin,10.7551/mitpress/7830.003.0041,https://doi.org/10.7551/mitpress/7830.003.0041,6,,,,,,,
87,embodied intelligence invariance,Embodied artificial intelligence through distributed adaptive control: An integrated framework,2018,2017 Joint IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob),Clement Moulin-Frier,10.1109/devlrn.2017.8329825,https://doi.org/10.1109/devlrn.2017.8329825,6,,,,,,,
88,robot planning learning,Robot Motion Planning Under Uncertain Condition Using Deep Reinforcement Learning,2018,"Proceedings of the 2018 International Conference on Mechanical, Electronic, Control and Automation Engineering (MECAE 2018)",Zhuang Chen,10.2991/mecae-18.2018.22,https://doi.org/10.2991/mecae-18.2018.22,6,,,,,,,
89,robot control learning,Robot Navigation from Human Demonstration: Learning Control Behaviors,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),Maggie Wigness,10.1109/icra.2018.8462900,https://doi.org/10.1109/icra.2018.8462900,6,,,,,,,
90,sim to real robotics,Sim-to-Real: Learning Agile Locomotion For Quadruped Robots,2018,Robotics: Science and Systems XIV,Jie Tan,10.15607/rss.2018.xiv.010,https://doi.org/10.15607/rss.2018.xiv.010,6,,,,,,,
91,robot manipulation learning,"A Framework for Robot Manipulation: Skill Formalism, Meta Learning and Adaptive Control",2019,2019 International Conference on Robotics and Automation (ICRA),Lars Johannsmeier,10.1109/icra.2019.8793542,https://doi.org/10.1109/icra.2019.8793542,6,,,,,,,
92,sim to real robotics,Adversarial discriminative sim-to-real transfer of visuo-motor policies,2019,The International Journal of Robotics Research,Fangyi Zhang,10.1177/0278364919870227,https://doi.org/10.1177/0278364919870227,6,,,,,,,
93,robot manipulation learning,An extended DMP framework for robot learning and improving variable stiffness manipulation,2019,Assembly Automation,Feifei Bian,10.1108/aa-11-2018-0188,https://doi.org/10.1108/aa-11-2018-0188,6,,,,,,,
94,robot 3D perception,Automatic sorting system for industrial robot with 3D visual perception and natural language interaction,2019,Measurement and Control,Yunhan Lin,10.1177/0020294018819552,https://doi.org/10.1177/0020294018819552,6,,,,,,,
95,robot foundation model manipulation,Autonomous Tissue Manipulation via Surgical Robot Using Learning Based Model Predictive Control,2019,2019 International Conference on Robotics and Automation (ICRA),Changyeob Shin,10.1109/icra.2019.8794159,https://doi.org/10.1109/icra.2019.8794159,6,,,,,,,
96,robot manipulation learning,Learning Articulated Constraints From a One-Shot Demonstration for Robot Manipulation Planning,2019,IEEE Access,Yizhou Liu,10.1109/access.2019.2953894,https://doi.org/10.1109/access.2019.2953894,6,,,,,,,
97,robot control learning,Learning perception and control for robot intelligence,2019,,Siyi Li,10.14711/thesis-991012730762103412,https://doi.org/10.14711/thesis-991012730762103412,6,,,,,,,
98,robot planning learning,Multi-Robot Path Planning Method Using Reinforcement Learning,2019,Applied Sciences,Hyansu Bae,10.3390/app9153057,https://doi.org/10.3390/app9153057,6,,,,,,,
99,robot manipulation learning,Robot learning of manipulation activities with overall planning through precedence graph,2019,Robotics and Autonomous Systems,Xin Ye,10.1016/j.robot.2019.03.011,https://doi.org/10.1016/j.robot.2019.03.011,6,,,,,,,
100,robot planning learning,Vector Autoregressive POMDP Model Learning and Planning for Human–Robot Collaboration,2019,IEEE Control Systems Letters,Wei Zheng,10.1109/lcsys.2019.2917805,https://doi.org/10.1109/lcsys.2019.2917805,6,,,,,,,
101,robot world model,An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,,Navin Ipe,10.36227/techrxiv.12893876.v1,https://doi.org/10.36227/techrxiv.12893876.v1,6,,,,,,,
102,robot world model,An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,,Navin Ipe,10.36227/techrxiv.12893876,https://doi.org/10.36227/techrxiv.12893876,6,,,,,,,
103,robot world model,An In-Memory Physics Environment as a World Model for Robot Motion Planning,2020,,Navin K Ipe,10.31224/osf.io/qyvdg,https://doi.org/10.31224/osf.io/qyvdg,6,,,,,,,
104,robot foundation model manipulation,Decidability in robot manipulation planning,2020,Autonomous Robots,Marilena Vendittelli,10.1007/s10514-020-09957-2,https://doi.org/10.1007/s10514-020-09957-2,6,,,,,,,
105,robot planning learning,Deep Reinforcement Learning for Indoor Mobile Robot Path Planning,2020,Sensors,Junli Gao,10.3390/s20195493,https://doi.org/10.3390/s20195493,6,,,,,,,
106,robot foundation model manipulation,Kinematic-Model-Free Orientation Control for Robot Manipulation Using Locally Weighted Dual Quaternions,2020,Robotics,Ahmad AlAttar,10.3390/robotics9040076,https://doi.org/10.3390/robotics9040076,6,,,,,,,
107,robot manipulation learning,Learning Grasping Points for Garment Manipulation in Robot-Assisted Dressing,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Fan Zhang,10.1109/icra40945.2020.9196994,https://doi.org/10.1109/icra40945.2020.9196994,6,,,,,,,
108,robot planning learning,Research on path planning of robot based on deep reinforcement learning,2020,2020 39th Chinese Control Conference (CCC),Feng Liu,10.23919/ccc50068.2020.9188890,https://doi.org/10.23919/ccc50068.2020.9188890,6,,,,,,,
109,robot foundation model manipulation,Self-Supervised Learning of Robot Manipulation,2020,"2020 4th International Conference on Automation, Control and Robots (ICACR)",Robin Tommy,10.1109/icacr51161.2020.9265507,https://doi.org/10.1109/icacr51161.2020.9265507,6,,,,,,,
110,sim to real robotics,Sim-To-Real via Sim-To-Sim: Data-Efficient Robotic Grasping via Randomized-To-Canonical Adaptation Networks,2020,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Stephen James,10.1109/cvpr.2019.01291,https://doi.org/10.1109/cvpr.2019.01291,6,,,,,,,
111,sim to real robotics,Sim-to-Real: Designing Locomotion Controller for Six-Legged Robot,2020,"2019 IEEE 9th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",Chenyu Yang,10.1109/cyber46603.2019.9066720,https://doi.org/10.1109/cyber46603.2019.9066720,6,,,,,,,
112,sim to real robotics,Characterization of Modeling Errors Affecting Performances of a Robotics Deep Reinforcement Learning Controller in a Sim-to-Real Transfer,2021,"2021 44th International Convention on Information, Communication and Electronic Technology (MIPRO)",Erica Salvato,10.23919/mipro52101.2021.9596864,https://doi.org/10.23919/mipro52101.2021.9596864,6,,,,,,,
113,robot planning learning,Decentralized Motion Planning for Multi-Robot Navigation using Deep Reinforcement Learning,2021,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),K. Sivanathan,10.1109/iciss49785.2020.9316033,https://doi.org/10.1109/iciss49785.2020.9316033,6,,,,,,,
114,robot planning learning,Distributed safe reinforcement learning for multi-robot motion planning,2021,2021 29th Mediterranean Conference on Control and Automation (MED),Yang Lu,10.1109/med51440.2021.9480176,https://doi.org/10.1109/med51440.2021.9480176,6,,,,,,,
115,robot planning learning,Hierarchies of Planning and Reinforcement Learning for Robot Navigation,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),Jan Wohlke,10.1109/icra48506.2021.9561151,https://doi.org/10.1109/icra48506.2021.9561151,6,,,,,,,
116,robot manipulation learning,Improved Learning of Robot Manipulation Tasks Via Tactile Intrinsic Motivation,2021,IEEE Robotics and Automation Letters,Nikola Vulin,10.1109/lra.2021.3061308,https://doi.org/10.1109/lra.2021.3061308,6,,,,,,,
